season,week,contestant_id,celebrity_name,ballroom_partner,J_total,p_hat,V_hat,judge_share,fan_judge_gap,momentum,popularity_score,eliminated,uncertainty_width
31,2,375,Charli D'Amelio,Mark Ballas,32.0,0.393687082459404,3936870.82459404,0.07766990291262135,0.31601717954678266,-5.561772291756695e-05,-2.22053708876558,0,5.551115123125783e-17
31,2,376,Teresa Giudice,Pasha Pashkov,23.0,0.00035899615056650424,3589.9615056650423,0.055825242718446605,-0.0554662465678801,-0.00023297205683641548,-4.17053708876558,1,0.006851634286919255
31,2,377,Vinny Guadagnino,Koko Iwasaki,27.0,0.0009758527125716756,9758.527125716757,0.06553398058252427,-0.06455812786995259,0.0007580797792410291,-4.47053708876558,0,0.026234932401971316
31,2,378,Shangela,Gleb Savchenko,28.0,0.08784346175753491,878434.617575349,0.06796116504854369,0.01988229670899122,-1.2409991421699629e-05,-2.67053708876558,0,0.06824293606758368
31,2,379,Gabby Windey,Valentin Chmerkovskiy,32.0,0.14482938389158106,1448293.8389158107,0.07766990291262135,0.06715948097895971,-2.0460616826117883e-05,-2.5205370887655802,0,0.0
31,3,365,Cheryl Ladd,Louis van Amstel,24.0,0.0009762031657503509,9762.031657503509,0.05955334987593052,-0.05857714671018017,0.00038410601561422925,-4.834035629792744,1,0.011127644314010735
31,3,366,Selma Blair,Sasha Farber,28.0,0.019607564730211365,196075.64730211365,0.06947890818858561,-0.04987134345837425,-0.03369132217625668,-2.854035629792744,0,0.05232268374071769
31,3,367,Joseph Baena,Daniella Karagach,29.0,0.007213219955683039,72132.19955683038,0.07196029776674938,-0.06474707781106634,0.002838180897310273,-4.024035629792744,0,0.02601138194898996
31,3,368,Trevor Donovan,Emma Slater,27.0,0.004375039058372766,43750.390583727654,0.06699751861042183,-0.06262247955204907,-0.002838180897310274,-3.979035629792744,0,0.031735311887192974
31,3,369,Daniel Durant,Britt Stewart,31.0,0.053298886906468036,532988.8690646804,0.07692307692307693,-0.02362419001660889,0.020971477869138937,-3.1090356297927437,0,0.07855607244468078
31,3,370,Wayne Brady,Witney Carson,33.0,0.23886903890990238,2388690.389099024,0.08188585607940446,0.15698318283049792,-2.7755575615628914e-17,-2.089035629792744,0,2.7755575615628914e-17
