season,judge_save,weeks,entropy_mean,entropy_mean_amei,entropy_mean_cbr,entropy_mean_cbp,fairness_loss_mean_amei,fairness_loss_mean_cbr,fairness_loss_mean_cbp,excitement_loss_mean_amei,excitement_loss_mean_cbr,excitement_loss_mean_cbp,interception_mean_amei,interception_mean_cbr,interception_mean_cbp,emr_amei,emr_cbr,emr_cbp,b2cr_amei,b2cr_cbr,b2cr_cbp
11,False,10,2.0170787734502085,2.0170787734502085,0.9339850344244243,2.6798185224390356,47.86832458763304,67.47596433389322,67.47596433389322,0.02452785148972682,0.95,0.006472135012130384,,,,0.4,0.6,0.7,,,
12,False,10,1.9781105465380224,1.9781105465380224,0.20000008748518444,2.676731427428525,33.43404522628866,47.46470377592785,47.46470377592785,0.04264211206697285,1.35,0.019966121246304442,0.0,0.0,0.0,0.5,0.7,0.8,,,
13,False,10,1.9922600259176082,1.9922600259176082,0.20000008681455456,2.690976721313918,36.56962824750882,49.53341146401118,49.53341146401118,0.038204685393630713,1.55,0.02101414034986212,,,,0.5,0.5,0.6,,,
14,False,10,2.3767632645197536,2.3767632645197536,0.5584963055059196,2.828067602253087,40.77308099322978,53.225905346681635,53.225905346681635,0.016535002239959812,1.5,0.005690193193347977,0.0,0.0,0.0,0.4,0.5,0.5,,,
15,False,10,1.8496565655407367,1.8496565655407367,0.4000000800893521,2.8877691869128013,16.433794605151434,32.19415193580184,32.19415193580184,0.024464889469834432,1.55,0.02868130911651328,1.0,0.0,0.0,0.1,0.1,0.1,,,
16,False,10,2.12732383531473,2.12732383531473,0.30000006031676085,2.8854172185500815,59.05204640935521,85.44865391782935,85.44865391782935,0.026014144011499634,1.7,0.015504882163107686,,,,0.7,0.7,0.8,,,
17,False,11,2.0214584369352138,2.0214584369352138,0.27272737689228405,2.8958823074451416,32.881263650605,65.04253479480651,65.04253479480651,0.02613793823580127,1.0454545454545454,0.005880353584944851,0.0,0.0,0.0,0.2727272727272727,0.5454545454545454,0.5454545454545454,,,
18,False,10,1.8229927372489207,1.8229927372489207,0.6169925640542695,2.840195937459463,31.811896437288862,55.90722176312842,55.90722176312842,0.025748757565994505,1.0,0.003749435173614686,0.0,0.0,0.0,0.1,0.4,0.5,,,
19,False,11,2.218920337059214,2.218920337059214,0.23499671424377286,2.917137336243919,108.05867804835233,155.4522338138656,155.4522338138656,0.02355078750738089,1.0909090909090908,0.007199213804311267,,,,0.36363636363636365,0.8181818181818182,0.5454545454545454,,,
20,False,10,2.225925199881338,2.225925199881338,0.3000001176420649,2.8330117799273595,84.58478669174056,106.59613997113998,106.59613997113998,0.06628728527434427,0.95,0.02885585735236613,,,,0.2,0.4,0.4,,,
21,False,11,2.047867531945725,2.047867531945725,0.234996666895084,2.8876337304091164,62.08124776280406,118.40506025777584,118.40506025777584,0.021614628211596175,1.5454545454545454,0.008228191872272106,0.0,0.0,0.0,0.2727272727272727,0.2727272727272727,0.5454545454545454,,,
22,False,10,2.0721243023981137,2.0721243023981137,0.30000007918425886,2.911699810667477,32.33691483740726,60.862180606949494,60.862180606949494,0.04455252899919243,1.75,0.0404448530354828,1.0,0.0,0.0,0.4,0.5,0.5,,,
23,False,11,2.3522830852237373,2.3522830852237373,0.2727273629603672,2.9501437416871297,59.72068231430703,71.96534700523385,71.96534700523385,0.020144645662703808,1.3636363636363635,0.0057414881565554625,0.5,0.0,0.0,0.45454545454545453,0.7272727272727273,0.5454545454545454,,,
24,False,10,2.2015646840612813,2.2015646840612813,0.40000009140878906,2.8130673991945114,70.96338562293359,93.61944677781528,93.61944677781528,0.0780987225204601,1.2,0.03013180921369666,,,,0.4,0.5,0.4,,,
25,False,10,2.489505039462454,2.489505039462454,0.2000000912813244,2.978062545406695,39.69857177609376,53.619745959034375,53.619745959034375,0.01929393380081797,2.0,0.0056442461520961025,,,,0.4,0.6,0.5,,,
26,False,4,2.0692003139039126,2.0692003139039126,0.6462406592918283,2.5349134685827694,33.61228665675055,48.138020833333336,48.138020833333336,0.03645551831975969,1.625,0.013365720426649415,,,,0.5,0.75,0.5,,,
27,False,9,2.061503275350264,2.061503275350264,0.39832925970185856,3.046951814130167,49.006645867238,84.18481664939999,84.18481664939999,0.02976233566200316,1.3888888888888888,0.02105662254437692,1.0,1.0,0.0,0.0,0.4444444444444444,0.4444444444444444,,,
28,True,11,1.7606781477502105,1.7606781477502105,8.208282994853127e-08,2.835214102601907,37.75482655938927,84.32648687492063,84.32648687492063,0.023675583582963147,2.5454545454545454,0.028987650570833565,1.0,0.0,0.0,,,,0.36363636363636365,0.5454545454545454,0.6363636363636364
29,True,11,2.215616249025284,2.215616249025284,9.67673947404939e-08,3.1296924514379016,34.25579444062558,64.01985761771866,64.01985761771866,0.026705789933368973,2.1363636363636362,0.016258890250556938,,,,,,,0.8181818181818182,0.8181818181818182,0.8181818181818182
30,True,10,2.034542568226918,2.034542568226918,1.0785286085202946e-07,3.1378405518754504,55.439226492362,99.06968864468865,99.06968864468865,0.03166328158650803,2.65,0.02017004931703926,,,,,,,0.5,0.8,0.6
31,True,10,2.5068756250086253,2.5068756250086253,0.10000007728621148,3.1548716455708834,89.10459703818998,127.04670787545786,127.04670787545786,0.01489018591729772,2.15,0.018379860281839945,,,,,,,0.8,0.9,0.8
32,True,11,2.176271410737979,2.176271410737979,8.290246032760878e-08,2.948110362523221,90.73120335652919,112.75166298348117,112.75166298348117,0.03740531135436848,2.909090909090909,0.025557315520000155,,,,,,,0.45454545454545453,0.6363636363636364,0.7272727272727273
33,True,9,1.8577759461185255,1.8577759461185255,0.11111120072152726,2.876580115471983,28.183629598786112,52.64989084989085,52.64989084989085,0.014667513894447377,1.9444444444444444,0.02106869307080182,,,,,,,0.4444444444444444,0.5555555555555556,0.5555555555555556
34,True,11,1.9634830223629138,1.9634830223629138,8.968404279247803e-08,3.050394364494987,40.431386468633505,75.43623952853419,75.43623952853419,0.019118934095401954,2.4545454545454546,0.017734199446521413,0.5,0.0,0.0,,,,0.45454545454545453,0.5454545454545454,0.7272727272727273
