z_soft_q,z_hard_q,b2cr,emr,entropy_mean,fairness_loss_mean,excitement_loss_mean,interception_mean,weeks_js,weeks_nojs,w_start,w_end,logistic_k,logistic_t0,min_vote_weight,tradeoff_score,emr_cbr_baseline,emr_cbp_baseline,b2cr_cbr_baseline,b2cr_cbp_baseline,emr_min_cbr,emr_min_cbp,b2cr_min_cbr,b2cr_min_cbp,emr_feasible,b2cr_feasible,constraint_feasible,penalty_emr,penalty_b2cr,penalty_total,feasible
0.2,0.05,0.5753424657534246,,1.8922864054071484,50.51096626357546,0.030656084451795643,0.3333333333333333,73,0,0.55,0.25,4.0,0.5,0.03,0.39645127846895045,,,0.6986301369863014,0.6986301369863014,,,0.6486301369863013,0.6486301369863013,True,False,False,,0.14657534246575343,,False
0.2,0.05,0.5753424657534246,,1.9396521752219036,51.50748687964918,0.029971642968254282,0.3333333333333333,73,0,0.55,0.25,4.0,0.5,0.06,0.5054675230909346,,,0.6986301369863014,0.6986301369863014,,,0.6486301369863013,0.6486301369863013,True,False,False,,0.14657534246575343,,False
0.2,0.05,0.5753424657534246,,1.991201597558114,52.84355278973106,0.02907608501064146,0.3333333333333333,73,0,0.55,0.25,4.0,0.5,0.1,0.6550052112936577,,,0.6986301369863014,0.6986301369863014,,,0.6486301369863013,0.6486301369863013,True,False,False,,0.14657534246575343,,False
0.2,0.05,0.5616438356164384,,1.9131260503444594,50.51096626357546,0.030680793612296507,0.3333333333333333,73,0,0.55,0.25,4.0,0.6,0.03,0.4002271846311568,,,0.6986301369863014,0.6986301369863014,,,0.6486301369863013,0.6486301369863013,True,False,False,,0.17397260273972592,,False
0.2,0.05,0.5616438356164384,,1.9578566505673372,51.50748687964918,0.030015426282021324,0.3333333333333333,73,0,0.55,0.25,4.0,0.6,0.06,0.5121582273036094,,,0.6986301369863014,0.6986301369863014,,,0.6486301369863013,0.6486301369863013,True,False,False,,0.17397260273972592,,False
0.2,0.05,0.5616438356164384,,2.0065583032114236,52.84355278973106,0.02914484454958831,0.3333333333333333,73,0,0.55,0.25,4.0,0.6,0.1,0.6655126328958927,,,0.6986301369863014,0.6986301369863014,,,0.6486301369863013,0.6486301369863013,True,False,False,,0.17397260273972592,,False
0.2,0.05,0.6027397260273972,,1.8562805762155035,50.51096626357546,0.03056139454727849,0.3333333333333333,73,0,0.55,0.25,8.0,0.4,0.03,0.38198133344784974,,,0.6986301369863014,0.6986301369863014,,,0.6486301369863013,0.6486301369863013,True,False,False,,0.09178082191780823,,False
0.2,0.05,0.6027397260273972,,1.9095577716539565,51.50748687964918,0.029836418997929007,0.3333333333333333,73,0,0.55,0.25,8.0,0.4,0.06,0.4848034045017431,,,0.6986301369863014,0.6986301369863014,,,0.6486301369863013,0.6486301369863013,True,False,False,,0.09178082191780823,,False
0.2,0.05,0.6027397260273972,,1.967308781549552,52.84355278973106,0.028887845497376354,0.3333333333333333,73,0,0.55,0.25,8.0,0.4,0.1,0.6262395744326404,,,0.6986301369863014,0.6986301369863014,,,0.6486301369863013,0.6486301369863013,True,False,False,,0.09178082191780823,,False
0.2,0.05,0.5753424657534246,,1.883606697704256,50.51096626357546,0.030780816177617465,0.3333333333333333,73,0,0.55,0.25,8.0,0.5,0.03,0.4155120349902732,,,0.6986301369863014,0.6986301369863014,,,0.6486301369863013,0.6486301369863013,True,False,False,,0.14657534246575343,,False
