season,week,contestant_id,celebrity_name,J_total,p_hat,z_score,kappa,tie_break,w_j,w_f,merit_score,pop_score,amei_score,amei_rank,bottom2_flag,eliminated
27,3,319,Tinashe,27.0,0.2620065832148169,0.337249999831375,1.0,-2.0,0.7406551665675746,0.2593448334324254,0.12245267851041576,0.28026509582038767,0.16338051359123884,2,0,0
27,3,320,Alexis Ren,26.0,0.0666817338716293,0.0,1.0,-4.0,0.7406551665675746,0.2593448334324254,0.0873981973923235,0.0713285990897381,0.0832306300972135,6,0,0
27,3,321,Joe Amabile,18.0,0.0499581963096385,-2.697999998651,0.03,-12.0,0.7406551665675746,0.2593448334324254,0.0058853997126737025,0.0016031893363826091,0.004774830575911885,11,1,0
27,4,309,Juan Pablo Di Pace,24.0,0.2461074505464443,0.0,1.0,-1.0,0.7132848507875011,0.28671514921249885,0.07190652950876794,0.26978105424107485,0.12864015339274362,3,0,0
27,4,310,Evanna Lynch,24.0,0.0827486625793652,0.0,1.0,-3.0,0.7132848507875011,0.28671514921249885,0.07190652950876794,0.09070843397114964,0.07729732035217886,6,0,0
27,4,312,John Schneider,21.0,0.0735971816983717,-1.0117499994941248,1.0,-10.0,0.7132848507875011,0.28671514921249885,0.026143930880164635,0.08067665250959838,0.0417792882991114,8,0,0
27,4,313,Milo Manheim,29.0,0.1594846802589326,1.686249999156875,1.0,-3.0,0.7132848507875011,0.28671514921249885,0.3882374253622033,0.1748258538293862,0.32704909478649774,1,0,0
27,4,315,Mary Lou Retton,26.0,0.0892469727925844,0.67449999966275,1.0,-7.0,0.7132848507875011,0.28671514921249885,0.14115619934800036,0.09783183058598305,0.12873444649386123,2,0,0
27,4,316,DeMarcus Ware,22.0,0.0981170742967508,-0.67449999966275,1.0,-5.5,0.7132848507875011,0.28671514921249885,0.03662998160816208,0.10755516618474731,0.05696530648696174,7,0,0
27,4,318,Bobby Bones,20.0,0.0731951483747278,-1.3489999993255,0.7746478873239435,-8.0,0.7132848507875011,0.28671514921249885,0.018659717855673812,0.0621546066280171,0.031130361380017256,9,1,0
27,4,319,Tinashe,26.0,0.0009758878453336,0.67449999966275,1.0,-3.0,0.7132848507875011,0.28671514921249885,0.14115619934800036,0.0010697605909556374,0.1009912951571267,5,0,1
27,4,320,Alexis Ren,25.0,0.1030666419353487,0.337249999831375,1.0,-5.5,0.7132848507875011,0.28671514921249885,0.10074746852284931,0.1129808433538603,0.10425496241289506,4,0,0
27,4,321,Joe Amabile,15.0,0.0734602996721403,-3.035249998482375,0.03,-11.0,0.7132848507875011,0.28671514921249885,0.0034560180574103884,0.0024157981052274507,0.0031577712386064386,10,1,0
