,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|ballroom_partner[Lindsay Arnold],0.181,0.118,-0.057,0.402,0.001,0.001,6761.0,7028.0,1.0
1|ballroom_partner[Louis van Amstel],-0.293,0.127,-0.54,-0.044,0.001,0.001,8947.0,9583.0,1.0
1|ballroom_partner[Maksim Chmerkoskiy],0.019,0.1,-0.184,0.209,0.001,0.001,6052.0,8052.0,1.0
1|ballroom_partner[Mark Ballas],0.286,0.094,0.103,0.474,0.001,0.001,5163.0,7806.0,1.0
1|ballroom_partner[Nick Kosovich],-0.093,0.254,-0.594,0.403,0.002,0.003,19337.0,8147.0,1.0
1|ballroom_partner[Pasha Pashkov],-0.169,0.152,-0.459,0.135,0.001,0.001,13370.0,8987.0,1.0
1|ballroom_partner[Peta Murgatroyd],-0.032,0.106,-0.237,0.174,0.001,0.001,6647.0,7155.0,1.0
1|ballroom_partner[Rylee Arnold],-0.52,0.178,-0.866,-0.167,0.002,0.002,12806.0,9176.0,1.0
1|ballroom_partner[Sasha Farber],0.087,0.109,-0.126,0.3,0.001,0.001,6393.0,8510.0,1.0
1|ballroom_partner[Sharna Burgess],0.081,0.111,-0.138,0.295,0.001,0.001,7178.0,8921.0,1.0
1|ballroom_partner[Tony Dovolani],0.057,0.101,-0.14,0.254,0.001,0.001,6486.0,8920.0,1.0
1|ballroom_partner[Tristan MacManus],0.214,0.194,-0.161,0.6,0.002,0.002,12565.0,8830.0,1.0
1|ballroom_partner[Tyne Stecklein],0.159,0.323,-0.48,0.786,0.002,0.004,21084.0,7327.0,1.0
1|ballroom_partner[Val Chmerkovskiy],-0.075,0.272,-0.626,0.424,0.002,0.003,21246.0,9536.0,1.0
1|ballroom_partner[Val Chmerkovskiy (Joey Graziadei week 9)],0.532,0.238,0.077,1.011,0.002,0.002,13729.0,8952.0,1.0
1|ballroom_partner[Valentin Chmerkovskiy],0.493,0.092,0.318,0.678,0.001,0.001,4888.0,7674.0,1.0
1|ballroom_partner[Witney Carson],0.102,0.107,-0.12,0.3,0.001,0.001,6001.0,8010.0,1.0
1|ballroom_partner[Witney Carson (Xoshitl Gomez week 9)],0.214,0.229,-0.234,0.657,0.002,0.002,17055.0,8696.0,1.0
1|industry_consolidated[Actor/Actress],0.114,0.163,-0.218,0.44,0.003,0.003,3196.0,4808.0,1.0
1|industry_consolidated[Athlete],-0.019,0.164,-0.358,0.301,0.003,0.003,3218.0,4836.0,1.0
1|industry_consolidated[Comedian],0.349,0.196,-0.035,0.744,0.003,0.003,4520.0,5926.0,1.0
1|industry_consolidated[Model],-0.565,0.196,-0.953,-0.191,0.003,0.003,4231.0,6160.0,1.0
1|industry_consolidated[Other_Industry],-0.019,0.168,-0.343,0.331,0.003,0.003,3361.0,4870.0,1.0
1|industry_consolidated[Singer/Rapper],0.182,0.165,-0.171,0.496,0.003,0.003,3221.0,4827.0,1.0
1|industry_consolidated[Tv Personality],-0.095,0.165,-0.442,0.219,0.003,0.003,3254.0,4721.0,1.0
