alpha_pop,beta,lambda_smooth,rho_pop,kappa_rank,EMR,B2CR,std_EMR,std_B2CR,score
1.0,1.0,0.5,0.3,0.4,0.6490384615384616,0.75,0.19767738526815468,0.21793347496775342,0.6579581447456401
0.6,1.2,0.3,0.1,0.4,0.6009615384615384,0.7857142857142857,0.2457275367467129,0.11472065784118174,0.6572930926291226
0.6,1.0,0.5,0.1,0.4,0.6394230769230769,0.75,0.22042122650875876,0.17840353119061184,0.6548290626916013
1.0,1.4,0.5,0.1,0.4,0.6153846153846154,0.7678571428571429,0.22915640158204512,0.14346100282750748,0.6543591386799239
0.8,1.2,0.3,0.1,0.4,0.6346153846153846,0.75,0.2103624438414799,0.17840353119061184,0.6534310948044831
1.0,1.0,0.7,0.3,0.4,0.6153846153846154,0.7678571428571429,0.20842658626053243,0.17768333673762315,0.6530098868210635
0.8,1.4,0.5,0.1,0.4,0.6057692307692307,0.7678571428571429,0.19824962052975223,0.14346100282750748,0.6526421244774608
1.0,1.0,0.7,0.1,0.4,0.6105769230769231,0.7678571428571429,0.20362636628682776,0.17768333673762315,0.651086062664588
1.0,1.0,0.5,0.2,0.4,0.6394230769230769,0.75,0.23455875488099312,0.21793347496775342,0.6494623154766638
1.0,1.2,0.7,0.1,0.4,0.6394230769230769,0.75,0.23742381797230078,0.21793347496775342,0.649175809167533
1.0,1.4,0.7,0.1,0.4,0.6394230769230769,0.75,0.25550629460900814,0.21793347496775342,0.6473675615038623
1.0,1.4,0.7,0.2,0.4,0.6057692307692307,0.7678571428571429,0.22366212166790755,0.17768333673762315,0.6466786409726337
0.8,1.4,0.5,0.2,0.4,0.5721153846153846,0.7857142857142857,0.18927607621796053,0.13955023256575264,0.6460322042864638
0.8,1.4,0.3,0.1,0.4,0.6153846153846154,0.75,0.21633200669138253,0.17840353119061184,0.6432187539041083
1.0,1.2,0.5,0.2,0.4,0.6201923076923077,0.75,0.2072799859643827,0.21793347496775342,0.6425748077529403
1.0,1.2,0.7,0.2,0.4,0.6201923076923077,0.75,0.20933163667302926,0.21793347496775342,0.6423696426820756
1.0,1.2,0.3,0.2,0.4,0.6105769230769231,0.75,0.2105316453917371,0.17840353119061184,0.6413949438802267
1.0,1.2,0.5,0.3,0.4,0.6298076923076923,0.7321428571428571,0.20933834183499186,0.21656664369780038,0.6383847761719954
